            5.0      10.0      20.0      30.0      40.0      50.0      60.0      70.0      80.0      90.0     100.0     200.0     300.0     500.0     700.0    1000.0    1500.0    2000.0    2500.0    3000.0
12	3	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.57E-12	2.32E-12	2.11E-12	1.98E-12	2.09E-12	2.45E-12	3.10E-12	3.54E-12	3.75E-12	3.79E-12
12	4	5.93E-12	5.93E-12	5.93E-12	5.93E-12	5.93E-12	5.93E-12	5.93E-12	5.93E-12	5.93E-12	5.93E-12	5.93E-12	6.91E-12	7.69E-12	8.90E-12	9.70E-12	1.04E-11	1.10E-11	1.11E-11	1.09E-11	1.05E-11
12	5	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.75E-12	7.35E-12	6.81E-12	6.23E-12	6.22E-12	6.71E-12	7.87E-12	8.74E-12	9.16E-12	9.23E-12
12	6	1.64E-11	1.64E-11	1.64E-11	1.64E-11	1.64E-11	1.64E-11	1.64E-11	1.64E-11	1.64E-11	1.64E-11	1.64E-11	2.03E-11	2.28E-11	2.54E-11	2.65E-11	2.72E-11	2.78E-11	2.77E-11	2.70E-11	2.60E-11
12	7	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	2.04E-11	1.93E-11	1.76E-11	1.71E-11	1.77E-11	1.99E-11	2.17E-11	2.26E-11	2.26E-11
12	8	4.03E-11	4.03E-11	4.03E-11	4.03E-11	4.03E-11	4.03E-11	4.03E-11	4.03E-11	4.03E-11	4.03E-11	4.03E-11	5.43E-11	6.40E-11	7.55E-11	8.15E-11	8.61E-11	8.88E-11	8.79E-11	8.48E-11	8.06E-11
12	9	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.14E-11	5.26E-11	5.21E-11	5.20E-11	5.31E-11	5.58E-11	6.00E-11	6.19E-11	6.15E-11	5.97E-11
12	10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.06E-10	1.45E-10	1.73E-10	2.15E-10	2.48E-10	2.85E-10	3.22E-10	3.37E-10	3.36E-10	3.27E-10
12	11	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.49E-10	2.89E-10	3.06E-10	3.21E-10	3.27E-10	3.29E-10	3.25E-10	3.14E-10	2.97E-10	2.79E-10
13	1	2.55E-13	2.55E-13	2.55E-13	2.55E-13	2.55E-13	2.55E-13	2.55E-13	2.55E-13	2.55E-13	2.55E-13	2.55E-13	3.06E-13	3.47E-13	4.23E-13	4.88E-13	5.62E-13	6.38E-13	6.71E-13	6.73E-13	6.56E-13
