      5.0     10.0     20.0     40.0     60.0     80.0    100.0    200.0    300.0    500.0 
15  5 +2.4e-13 +2.4e-13 +2.9e-13 +4.5e-13 +6.7e-13 +9.1e-13 +1.1e-12 +1.8e-12 +2.2e-12 +2.5e-12 
15  6 +4.6e-13 +4.6e-13 +5.3e-13 +7.8e-13 +1.1e-12 +1.4e-12 +1.7e-12 +2.6e-12 +3.1e-12 +3.5e-12 
15  7 +1.1e-12 +1.1e-12 +1.2e-12 +1.7e-12 +2.4e-12 +3.0e-12 +3.6e-12 +5.4e-12 +6.4e-12 +7.3e-12 
15  8 +1.9e-12 +1.8e-12 +2.1e-12 +2.8e-12 +3.6e-12 +4.3e-12 +4.9e-12 +7.0e-12 +8.0e-12 +9.0e-12 
15  9 +3.5e-12 +3.4e-12 +3.8e-12 +5.0e-12 +6.4e-12 +7.7e-12 +8.8e-12 +1.2e-11 +1.4e-11 +1.6e-11 
15 10 +6.4e-12 +6.3e-12 +6.8e-12 +8.6e-12 +1.0e-11 +1.2e-11 +1.3e-11 +1.7e-11 +1.9e-11 +2.2e-11 
15 11 +8.5e-12 +8.3e-12 +9.0e-12 +1.1e-11 +1.3e-11 +1.5e-11 +1.7e-11 +2.3e-11 +2.6e-11 +3.0e-11 
15 12 +2.2e-11 +2.2e-11 +2.3e-11 +2.7e-11 +3.1e-11 +3.4e-11 +3.7e-11 +4.5e-11 +5.0e-11 +5.8e-11 
15 13 +1.9e-11 +1.8e-11 +1.9e-11 +2.2e-11 +2.4e-11 +2.7e-11 +2.9e-11 +3.8e-11 +4.3e-11 +5.1e-11 
15 14 +9.2e-11 +8.8e-11 +8.9e-11 +9.6e-11 +1.0e-10 +1.1e-10 +1.1e-10 +1.3e-10 +1.5e-10 +1.7e-10 
