     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)         W(CO)         G(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)       W(oH2O)       G(oH2O)       W(pH2O)       G(pH2O)       W(oNH3)       G(oNH3)       W(pNH3)       G(pNH3)         W(OH)         G(OH)      W(atype)      G(atype)      W(etype)      G(etype)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+)       E(H+H2) 
  2.097226566E+010   1.1179E-003   3.0188E+004   1.2934E-013   2.0206E-017   6.3656E-017   4.9147E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.4283E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.0590E-024   1.6309E-028   6.9065E-023   2.1688E-025   1.7493E-020   5.9092E-024   9.3889E-028   1.9846E-019   3.3164E-017 
  2.586395657E+010   1.4004E-003   2.9183E+004   1.8388E-013   2.1119E-017   1.0620E-016   5.6922E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.6091E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   9.4336E-025   5.5365E-028   1.3586E-022   4.6422E-025   3.5374E-020   7.4908E-024   2.7444E-027   2.5215E-019   4.7928E-017 
  4.247073082E+010   2.4414E-003   2.5459E+004   3.7030E-013   2.4316E-017   5.4547E-016   6.0476E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.3396E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.3030E-024   6.6217E-027   9.5984E-022   2.2090E-024   3.0355E-019   1.2432E-023   1.7545E-026   4.6499E-019   8.1077E-017 
  5.423624118E+010   3.2498E-003   2.3139E+004   4.1992E-013   2.5573E-017   1.4579E-015   4.6218E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.5538E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.2754E-024   1.5285E-026   2.8673E-021   3.6588E-024   1.1348E-018   1.6454E-023   3.1748E-026   6.1651E-019   7.7274E-017 
  6.292441705E+010   3.8686E-003   2.1741E+004   4.0434E-013   2.5626E-017   2.5320E-015   3.3311E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.3826E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.2360E-024   2.4115E-026   5.5327E-021   4.4753E-024   2.5277E-018   2.0505E-023   4.8282E-026   7.0893E-019   6.7538E-017 
  8.411011849E+010   5.4083E-003   1.8959E+004   3.0651E-013   2.4291E-017   5.3994E-015   1.1171E-017   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.3388E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   6.1380E-024   7.9768E-026   1.5963E-020   5.5716E-024   9.6471E-018   4.4283E-023   1.1112E-025   8.6210E-019   4.1478E-017 
  1.083101482E+011   7.2038E-003   1.6694E+004   2.0298E-013   2.2377E-017   6.7312E-015   2.1683E-018   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.1982E-016  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.1670E-023   3.0952E-025   2.8672E-020   6.0570E-024   2.1911E-017   8.9847E-023   1.2254E-025   9.4726E-019   2.2755E-017 
  1.211767408E+011   8.1735E-003   1.5856E+004   1.6067E-013   2.1442E-017   6.5287E-015   8.0149E-019   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   7.9691E-017  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.5091E-023   5.3208E-025   3.3987E-020   6.1930E-024   2.8490E-017   1.1050E-022   9.3379E-026   9.6856E-019   1.7219E-017 
  1.249047645E+011   8.4562E-003   1.5652E+004   1.5003E-013   2.1184E-017   6.3953E-015   5.9505E-019   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   7.0551E-017  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.5991E-023   6.0910E-025   3.5304E-020   6.2245E-024   3.0296E-017   1.1539E-022   8.3711E-026   9.7282E-019   1.5999E-017 
  1.582169745E+011   1.1013E-002   1.4384E+004   8.1084E-014   1.9104E-017   4.6210E-015   4.1869E-020   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.2925E-017  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.1359E-023   1.5103E-024   4.3550E-020   6.4172E-024   4.3728E-017   1.4014E-022   2.2383E-026   9.9030E-019   9.5820E-018 
