     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_cons 
  8.102750180E+011   6.2849E-002   1.2988E+004   5.9135E-013  -6.4864E-010   2.3509E-007   1.2413E-006   1.5735E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.6729E-002   1.2337E+000   1.4896E-006   1.2511E-003   0.0000E+000   1.2817E+000   2.7947E-004 
  1.000760913E+012   7.8034E-002   1.2987E+004   5.9135E-013  -7.8536E-010   2.3506E-007   1.2413E-006   1.5738E-009   0.0000E+000   1.4780E-006   4.5950E-004   4.6720E-002   1.2336E+000   6.7955E-007   1.2512E-003   0.0000E+000   1.2816E+000   2.7941E-004 
  1.322349213E+012   1.0367E-001   1.2986E+004   5.9135E-013  -1.0204E-009   2.3503E-007   1.2414E-006   1.5743E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6705E-002   1.2334E+000   4.3156E-007   1.2514E-003   0.0000E+000   1.2814E+000   2.7933E-004 
  1.596013674E+012   1.2549E-001   1.2984E+004   5.9135E-013  -1.2223E-009   2.3500E-007   1.2414E-006   1.5748E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6692E-002   1.2333E+000   3.4955E-007   1.2516E-003   0.0000E+000   1.2812E+000   2.7925E-004 
  1.770752272E+012   1.3943E-001   1.2983E+004   5.9135E-013  -1.3516E-009   2.3498E-007   1.2414E-006   1.5750E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6684E-002   1.2332E+000   3.2235E-007   1.2517E-003   0.0000E+000   1.2811E+000   2.7921E-004 
  1.841043405E+012   1.4503E-001   1.2983E+004   5.9135E-013  -1.4036E-009   2.3497E-007   1.2414E-006   1.5751E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6681E-002   1.2332E+000   3.1468E-007   1.2517E-003   0.0000E+000   1.2811E+000   2.7919E-004 
  1.888530761E+012   1.4882E-001   1.2983E+004   5.9135E-013  -1.4388E-009   2.3496E-007   1.2414E-006   1.5752E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6679E-002   1.2331E+000   3.1029E-007   1.2518E-003   0.0000E+000   1.2811E+000   2.7918E-004 
  1.932171374E+012   1.5230E-001   1.2982E+004   5.9135E-013  -1.4711E-009   2.3496E-007   1.2414E-006   1.5753E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6677E-002   1.2331E+000   3.0673E-007   1.2518E-003   0.0000E+000   1.2811E+000   2.7917E-004 
  2.019419058E+012   1.5926E-001   1.2982E+004   5.9135E-013  -1.5357E-009   2.3495E-007   1.2415E-006   1.5754E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6673E-002   1.2331E+000   3.0080E-007   1.2518E-003   0.0000E+000   1.2810E+000   2.7914E-004 
  2.400785308E+012   1.8968E-001   1.2980E+004   5.9135E-013  -1.8183E-009   2.3490E-007   1.2415E-006   1.5760E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6655E-002   1.2329E+000   2.8649E-007   1.2521E-003   0.0000E+000   1.2808E+000   2.7905E-004 
